month,db-name,value
2013-05,Microsoft SQL Server,1286.222
2013-06,Microsoft SQL Server,1321.987
2013-07,Microsoft SQL Server,1304.963
2013-08,Microsoft SQL Server,1313.781
2013-09,Microsoft SQL Server,1207.003
2013-10,Microsoft SQL Server,1234.457
2013-11,Microsoft SQL Server,1205.875
2013-12,Microsoft SQL Server,1226.019
2014-01,Microsoft SQL Server,1214.267
2014-02,Microsoft SQL Server,1205.277
2014-03,Microsoft SQL Server,1210.429
2014-04,Microsoft SQL Server,1207.796
2014-05,Microsoft SQL Server,1223.786
2014-06,Microsoft SQL Server,1246.597
2014-07,Microsoft SQL Server,1242.498
2014-08,Microsoft SQL Server,1208.873
2014-09,Microsoft SQL Server,1219.604
2014-10,Microsoft SQL Server,1220.197
2014-11,Microsoft SQL Server,1200.049
2014-12,Microsoft SQL Server,1198.61
2015-01,Microsoft SQL Server,1177.483
2015-02,Microsoft SQL Server,1164.798
2015-03,Microsoft SQL Server,1149.115
2015-04,Microsoft SQL Server,1131.03
2015-05,Microsoft SQL Server,1118.05
2015-06,Microsoft SQL Server,1103.052
2015-07,Microsoft SQL Server,1108.656
2015-08,Microsoft SQL Server,1097.83
2015-09,Microsoft SQL Server,1123.229
2015-10,Microsoft SQL Server,1122.327
2015-11,Microsoft SQL Server,1123.159
2015-12,Microsoft SQL Server,1144.063
2016-01,Microsoft SQL Server,1150.227
2016-02,Microsoft SQL Server,1136.492
2016-03,Microsoft SQL Server,1135.046
2016-04,Microsoft SQL Server,1142.82
2016-05,Microsoft SQL Server,1165.809
2016-06,Microsoft SQL Server,1192.887
2016-07,Microsoft SQL Server,1205.044
2016-08,Microsoft SQL Server,1211.553
2016-09,Microsoft SQL Server,1214.178
2016-10,Microsoft SQL Server,1213.802
2016-11,Microsoft SQL Server,1226.658
2016-12,Microsoft SQL Server,1220.954
2017-01,Microsoft SQL Server,1203.455
2017-02,Microsoft SQL Server,1207.492
2017-03,Microsoft SQL Server,1204.769
2017-04,Microsoft SQL Server,1213.803
2017-05,Microsoft SQL Server,1198.965
2017-06,Microsoft SQL Server,1225.999
2017-07,Microsoft SQL Server,1225.475
2017-08,Microsoft SQL Server,1212.541
2017-09,Microsoft SQL Server,1210.315
2017-10,Microsoft SQL Server,1215.077
2017-11,Microsoft SQL Server,1172.484
2017-12,Microsoft SQL Server,1148.068
2018-01,Microsoft SQL Server,1122.036
2018-02,Microsoft SQL Server,1104.79
2018-03,Microsoft SQL Server,1095.511
2018-04,Microsoft SQL Server,1085.844
2018-05,Microsoft SQL Server,1087.731
2018-06,Microsoft SQL Server,1053.412
2018-07,Microsoft SQL Server,1072.65
2018-08,Microsoft SQL Server,1051.278
2018-09,Microsoft SQL Server,1058.325
2018-10,Microsoft SQL Server,1051.548
2018-11,Microsoft SQL Server,1040.342
2018-12,Microsoft SQL Server,1040.261
2019-01,Microsoft SQL Server,1040.054
2019-02,Microsoft SQL Server,1047.847
2019-03,Microsoft SQL Server,1059.957
2019-04,Microsoft SQL Server,1072.188
2019-05,Microsoft SQL Server,1087.76
